"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,22,3,27,2021-08-11
"20 - 24",6,2,50,0,58,2021-08-11
"25 - 29",4,3,101,7,115,2021-08-11
"30 - 34",4,6,171,6,187,2021-08-11
"35 - 39",5,14,207,14,240,2021-08-11
"40 - 44",8,8,316,27,359,2021-08-11
"45 - 49",12,15,604,66,697,2021-08-11
"50 - 54",24,22,1014,144,1204,2021-08-11
"55 - 59",12,22,1403,256,1693,2021-08-11
"60 - 64",13,31,1498,455,1997,2021-08-11
"65 - 69",10,34,1498,723,2265,2021-08-11
"70 - 74",15,23,1322,996,2356,2021-08-11
"75 - 79",8,18,659,689,1374,2021-08-11
"80 - 84",1,2,139,227,369,2021-08-11
"85 - 89",1,0,17,38,56,2021-08-11
">90",0,0,3,2,5,2021-08-11
