"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,46,6,54,2022-04-26
"20 - 24",5,0,106,0,111,2022-04-26
"25 - 29",4,0,178,11,193,2022-04-26
"30 - 34",7,1,311,13,332,2022-04-26
"35 - 39",3,0,395,26,424,2022-04-26
"40 - 44",9,4,493,48,554,2022-04-26
"45 - 49",10,3,877,91,981,2022-04-26
"50 - 54",16,5,1389,212,1622,2022-04-26
"55 - 59",27,6,1859,367,2259,2022-04-26
"60 - 64",24,13,2031,655,2723,2022-04-26
"65 - 69",33,15,1978,998,3024,2022-04-26
"70 - 74",27,15,1724,1320,3086,2022-04-26
"75 - 79",23,8,913,935,1879,2022-04-26
"80 - 84",12,4,215,299,530,2022-04-26
"85 - 89",0,3,42,50,95,2022-04-26
">90",0,0,6,4,10,2022-04-26
