"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,46,6,55,2022-05-10
"20 - 24",4,0,107,0,111,2022-05-10
"25 - 29",4,1,178,11,194,2022-05-10
"30 - 34",5,0,313,13,331,2022-05-10
"35 - 39",3,0,395,26,424,2022-05-10
"40 - 44",10,1,495,48,554,2022-05-10
"45 - 49",8,4,882,91,985,2022-05-10
"50 - 54",17,4,1392,212,1625,2022-05-10
"55 - 59",30,5,1865,367,2267,2022-05-10
"60 - 64",23,11,2041,660,2735,2022-05-10
"65 - 69",29,10,1993,1004,3036,2022-05-10
"70 - 74",30,11,1733,1324,3098,2022-05-10
"75 - 79",20,5,923,940,1888,2022-05-10
"80 - 84",9,2,222,300,533,2022-05-10
"85 - 89",0,0,46,51,97,2022-05-10
">90",0,0,6,4,10,2022-05-10
