"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,46,6,55,2022-05-13
"20 - 24",4,0,107,0,111,2022-05-13
"25 - 29",4,1,178,11,194,2022-05-13
"30 - 34",5,0,313,13,331,2022-05-13
"35 - 39",4,2,395,26,427,2022-05-13
"40 - 44",8,1,497,48,554,2022-05-13
"45 - 49",8,3,882,91,984,2022-05-13
"50 - 54",17,3,1392,212,1624,2022-05-13
"55 - 59",30,8,1866,367,2271,2022-05-13
"60 - 64",19,9,2045,661,2734,2022-05-13
"65 - 69",31,11,1996,1004,3042,2022-05-13
"70 - 74",25,10,1739,1325,3099,2022-05-13
"75 - 79",22,4,923,941,1890,2022-05-13
"80 - 84",10,1,222,301,534,2022-05-13
"85 - 89",0,0,46,51,97,2022-05-13
">90",0,1,6,4,11,2022-05-13
