"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,24,3,27,2021-08-22
"20 - 24",4,2,53,0,59,2021-08-22
"25 - 29",4,5,107,7,123,2021-08-22
"30 - 34",3,8,177,6,194,2021-08-22
"35 - 39",9,6,216,15,246,2021-08-22
"40 - 44",5,9,325,27,366,2021-08-22
"45 - 49",12,13,618,67,710,2021-08-22
"50 - 54",13,31,1034,145,1223,2021-08-22
"55 - 59",14,20,1420,256,1710,2021-08-22
"60 - 64",11,33,1512,459,2015,2021-08-22
"65 - 69",13,37,1505,730,2285,2021-08-22
"70 - 74",14,23,1331,1002,2370,2021-08-22
"75 - 79",6,19,666,691,1382,2021-08-22
"80 - 84",0,2,141,228,371,2021-08-22
"85 - 89",0,1,18,38,57,2021-08-22
">90",0,0,3,2,5,2021-08-22
