"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,22,3,27,2021-08-07
"20 - 24",5,4,49,0,58,2021-08-07
"25 - 29",2,6,100,7,115,2021-08-07
"30 - 34",3,5,170,6,184,2021-08-07
"35 - 39",4,11,207,14,236,2021-08-07
"40 - 44",6,8,313,27,354,2021-08-07
"45 - 49",14,20,595,65,694,2021-08-07
"50 - 54",23,25,1011,142,1201,2021-08-07
"55 - 59",9,23,1401,256,1689,2021-08-07
"60 - 64",13,32,1491,453,1989,2021-08-07
"65 - 69",9,36,1494,721,2260,2021-08-07
"70 - 74",12,21,1321,994,2348,2021-08-07
"75 - 79",7,20,657,689,1373,2021-08-07
"80 - 84",1,2,138,227,368,2021-08-07
"85 - 89",2,0,17,38,57,2021-08-07
">90",0,0,3,2,5,2021-08-07
