"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,4,31,3,39,2021-12-07
"20 - 24",8,2,69,0,79,2021-12-07
"25 - 29",7,2,138,9,156,2021-12-07
"30 - 34",11,14,245,7,277,2021-12-07
"35 - 39",8,20,303,19,350,2021-12-07
"40 - 44",8,20,402,37,467,2021-12-07
"45 - 49",20,43,716,77,856,2021-12-07
"50 - 54",34,57,1174,165,1430,2021-12-07
"55 - 59",43,95,1570,290,1998,2021-12-07
"60 - 64",45,98,1692,542,2377,2021-12-07
"65 - 69",50,121,1645,830,2646,2021-12-07
"70 - 74",37,98,1446,1140,2721,2021-12-07
"75 - 79",30,41,728,803,1602,2021-12-07
"80 - 84",8,5,160,258,431,2021-12-07
"85 - 89",1,0,21,44,66,2021-12-07
">90",0,0,3,2,5,2021-12-07
