"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,1,51,7,62,2022-08-29
"20 - 24",3,0,114,1,118,2022-08-29
"25 - 29",1,1,191,12,205,2022-08-29
"30 - 34",4,0,326,14,344,2022-08-29
"35 - 39",3,1,405,26,435,2022-08-29
"40 - 44",3,3,514,50,570,2022-08-29
"45 - 49",2,3,898,95,998,2022-08-29
"50 - 54",8,2,1418,218,1646,2022-08-29
"55 - 59",10,3,1921,382,2316,2022-08-29
"60 - 64",15,9,2090,682,2796,2022-08-29
"65 - 69",12,10,2062,1024,3108,2022-08-29
"70 - 74",21,4,1795,1348,3168,2022-08-29
"75 - 79",9,3,992,960,1964,2022-08-29
"80 - 84",6,1,249,312,568,2022-08-29
"85 - 89",0,0,51,55,106,2022-08-29
">90",0,1,9,6,16,2022-08-29
