"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,46,6,54,2022-05-25
"20 - 24",4,0,107,0,111,2022-05-25
"25 - 29",4,0,181,11,196,2022-05-25
"30 - 34",5,1,313,13,332,2022-05-25
"35 - 39",3,1,397,26,427,2022-05-25
"40 - 44",8,1,497,48,554,2022-05-25
"45 - 49",6,2,886,91,985,2022-05-25
"50 - 54",17,2,1392,213,1624,2022-05-25
"55 - 59",28,5,1870,369,2272,2022-05-25
"60 - 64",18,7,2049,663,2737,2022-05-25
"65 - 69",29,7,2003,1005,3044,2022-05-25
"70 - 74",21,10,1745,1330,3106,2022-05-25
"75 - 79",22,1,930,942,1895,2022-05-25
"80 - 84",5,2,226,302,535,2022-05-25
"85 - 89",0,0,46,51,97,2022-05-25
">90",0,0,7,5,12,2022-05-25
