"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,62,8,71,2023-02-20
"20 - 24",2,0,120,2,124,2023-02-20
"25 - 29",0,0,198,13,211,2023-02-20
"30 - 34",2,0,334,14,350,2023-02-20
"35 - 39",2,0,423,27,452,2023-02-20
"40 - 44",1,0,533,54,588,2023-02-20
"45 - 49",4,1,918,97,1020,2023-02-20
"50 - 54",9,2,1457,229,1697,2023-02-20
"55 - 59",6,5,1976,395,2382,2023-02-20
"60 - 64",12,4,2166,695,2877,2023-02-20
"65 - 69",16,3,2145,1071,3235,2023-02-20
"70 - 74",11,12,1915,1395,3333,2023-02-20
"75 - 79",11,5,1076,1002,2094,2023-02-20
"80 - 84",9,1,312,339,661,2023-02-20
"85 - 89",4,2,69,71,146,2023-02-20
">90",0,1,16,9,26,2023-02-20
