"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,58,7,67,2022-12-14
"20 - 24",4,0,117,2,123,2022-12-14
"25 - 29",2,0,194,13,209,2022-12-14
"30 - 34",3,0,330,14,347,2022-12-14
"35 - 39",4,3,414,26,447,2022-12-14
"40 - 44",2,1,527,52,582,2022-12-14
"45 - 49",3,2,911,97,1013,2022-12-14
"50 - 54",10,5,1440,223,1678,2022-12-14
"55 - 59",11,4,1950,389,2354,2022-12-14
"60 - 64",10,3,2132,688,2833,2022-12-14
"65 - 69",19,7,2103,1050,3179,2022-12-14
"70 - 74",18,7,1858,1378,3261,2022-12-14
"75 - 79",15,8,1032,985,2040,2022-12-14
"80 - 84",11,0,281,327,619,2022-12-14
"85 - 89",4,0,61,62,127,2022-12-14
">90",0,0,15,9,24,2022-12-14
