"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,37,5,44,2022-01-19
"20 - 24",2,1,80,0,83,2022-01-19
"25 - 29",4,3,158,10,175,2022-01-19
"30 - 34",5,3,286,11,305,2022-01-19
"35 - 39",6,9,356,21,392,2022-01-19
"40 - 44",8,9,450,40,507,2022-01-19
"45 - 49",17,23,806,86,932,2022-01-19
"50 - 54",29,37,1293,186,1545,2022-01-19
"55 - 59",37,42,1722,335,2136,2022-01-19
"60 - 64",46,49,1862,596,2553,2022-01-19
"65 - 69",49,49,1803,925,2826,2022-01-19
"70 - 74",26,53,1566,1236,2881,2022-01-19
"75 - 79",26,22,798,870,1716,2022-01-19
"80 - 84",6,2,174,272,454,2022-01-19
"85 - 89",0,0,27,46,73,2022-01-19
">90",1,0,3,3,7,2022-01-19
