"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,45,6,54,2022-04-10
"20 - 24",4,1,106,0,111,2022-04-10
"25 - 29",4,2,176,11,193,2022-04-10
"30 - 34",7,3,310,12,332,2022-04-10
"35 - 39",3,0,394,26,423,2022-04-10
"40 - 44",7,6,490,47,550,2022-04-10
"45 - 49",8,4,873,92,977,2022-04-10
"50 - 54",16,6,1381,209,1612,2022-04-10
"55 - 59",28,10,1849,364,2251,2022-04-10
"60 - 64",23,18,2018,648,2707,2022-04-10
"65 - 69",27,18,1966,995,3006,2022-04-10
"70 - 74",32,21,1702,1309,3064,2022-04-10
"75 - 79",25,13,898,927,1863,2022-04-10
"80 - 84",10,7,208,290,515,2022-04-10
"85 - 89",4,1,37,50,92,2022-04-10
">90",1,1,4,4,10,2022-04-10
