"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,36,4,43,2022-01-14
"20 - 24",3,2,79,0,84,2022-01-14
"25 - 29",5,5,155,10,175,2022-01-14
"30 - 34",5,4,285,11,305,2022-01-14
"35 - 39",6,8,354,21,389,2022-01-14
"40 - 44",10,13,444,40,507,2022-01-14
"45 - 49",24,24,793,86,927,2022-01-14
"50 - 54",28,41,1286,185,1540,2022-01-14
"55 - 59",33,48,1714,334,2129,2022-01-14
"60 - 64",45,58,1848,594,2545,2022-01-14
"65 - 69",54,54,1785,920,2813,2022-01-14
"70 - 74",29,54,1559,1231,2873,2022-01-14
"75 - 79",19,36,798,861,1714,2022-01-14
"80 - 84",7,2,172,271,452,2022-01-14
"85 - 89",0,1,27,46,74,2022-01-14
">90",1,0,3,3,7,2022-01-14
