"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,51,7,61,2022-10-19
"20 - 24",5,1,113,2,121,2022-10-19
"25 - 29",2,1,193,12,208,2022-10-19
"30 - 34",2,1,328,14,345,2022-10-19
"35 - 39",3,3,408,26,440,2022-10-19
"40 - 44",4,1,519,52,576,2022-10-19
"45 - 49",4,1,902,96,1003,2022-10-19
"50 - 54",11,1,1427,219,1658,2022-10-19
"55 - 59",10,5,1935,383,2333,2022-10-19
"60 - 64",10,8,2103,684,2805,2022-10-19
"65 - 69",26,5,2071,1032,3134,2022-10-19
"70 - 74",18,14,1825,1354,3211,2022-10-19
"75 - 79",12,9,1006,969,1996,2022-10-19
"80 - 84",13,4,259,321,597,2022-10-19
"85 - 89",6,0,56,59,121,2022-10-19
">90",1,0,12,9,22,2022-10-19
