"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,25,3,28,2021-09-05
"20 - 24",3,1,56,0,60,2021-09-05
"25 - 29",5,4,112,7,128,2021-09-05
"30 - 34",7,9,184,7,207,2021-09-05
"35 - 39",6,11,230,15,262,2021-09-05
"40 - 44",5,11,332,30,378,2021-09-05
"45 - 49",10,13,633,67,723,2021-09-05
"50 - 54",19,24,1055,146,1244,2021-09-05
"55 - 59",12,30,1435,261,1738,2021-09-05
"60 - 64",18,35,1524,468,2045,2021-09-05
"65 - 69",11,37,1524,735,2307,2021-09-05
"70 - 74",14,20,1342,1012,2388,2021-09-05
"75 - 79",3,18,673,701,1395,2021-09-05
"80 - 84",4,2,141,229,376,2021-09-05
"85 - 89",2,0,18,38,58,2021-09-05
">90",0,0,3,2,5,2021-09-05
