"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,51,7,61,2022-10-10
"20 - 24",5,0,113,2,120,2022-10-10
"25 - 29",3,2,191,12,208,2022-10-10
"30 - 34",5,0,325,14,344,2022-10-10
"35 - 39",2,0,408,26,436,2022-10-10
"40 - 44",4,1,517,50,572,2022-10-10
"45 - 49",2,2,901,96,1001,2022-10-10
"50 - 54",9,2,1426,219,1656,2022-10-10
"55 - 59",13,2,1929,382,2326,2022-10-10
"60 - 64",12,5,2098,681,2796,2022-10-10
"65 - 69",17,6,2068,1030,3121,2022-10-10
"70 - 74",16,11,1814,1350,3191,2022-10-10
"75 - 79",20,4,996,964,1984,2022-10-10
"80 - 84",12,7,255,319,593,2022-10-10
"85 - 89",3,1,54,58,116,2022-10-10
">90",1,1,10,8,20,2022-10-10
