"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,46,6,54,2022-04-12
"20 - 24",5,1,106,0,112,2022-04-12
"25 - 29",4,1,176,11,192,2022-04-12
"30 - 34",7,2,310,12,331,2022-04-12
"35 - 39",3,0,394,26,423,2022-04-12
"40 - 44",7,6,491,47,551,2022-04-12
"45 - 49",8,4,875,92,979,2022-04-12
"50 - 54",16,7,1383,209,1615,2022-04-12
"55 - 59",23,11,1855,364,2253,2022-04-12
"60 - 64",21,15,2023,650,2709,2022-04-12
"65 - 69",31,18,1965,995,3009,2022-04-12
"70 - 74",30,17,1707,1313,3067,2022-04-12
"75 - 79",25,14,901,929,1869,2022-04-12
"80 - 84",8,6,210,294,518,2022-04-12
"85 - 89",4,1,38,50,93,2022-04-12
">90",2,1,4,4,11,2022-04-12
