"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,3,32,4,41,2021-12-22
"20 - 24",5,3,74,0,82,2021-12-22
"25 - 29",5,5,147,9,166,2021-12-22
"30 - 34",12,16,260,9,297,2021-12-22
"35 - 39",7,16,328,19,370,2021-12-22
"40 - 44",13,15,420,37,485,2021-12-22
"45 - 49",23,42,753,81,899,2021-12-22
"50 - 54",35,59,1222,173,1489,2021-12-22
"55 - 59",49,79,1629,307,2064,2021-12-22
"60 - 64",47,114,1746,561,2468,2021-12-22
"65 - 69",58,102,1705,871,2736,2021-12-22
"70 - 74",48,86,1489,1178,2801,2021-12-22
"75 - 79",31,52,756,828,1667,2021-12-22
"80 - 84",9,2,161,266,438,2021-12-22
"85 - 89",1,1,24,44,70,2021-12-22
">90",0,0,3,3,6,2021-12-22
