"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,3,32,4,39,2021-12-17
"20 - 24",5,3,73,0,81,2021-12-17
"25 - 29",7,3,146,9,165,2021-12-17
"30 - 34",7,20,258,9,294,2021-12-17
"35 - 39",8,17,319,19,363,2021-12-17
"40 - 44",11,24,411,37,483,2021-12-17
"45 - 49",25,43,738,79,885,2021-12-17
"50 - 54",42,56,1203,171,1472,2021-12-17
"55 - 59",44,85,1618,300,2047,2021-12-17
"60 - 64",46,109,1729,555,2439,2021-12-17
"65 - 69",61,105,1685,858,2709,2021-12-17
"70 - 74",47,96,1473,1163,2779,2021-12-17
"75 - 79",26,55,751,818,1650,2021-12-17
"80 - 84",8,3,161,264,436,2021-12-17
"85 - 89",1,0,23,44,68,2021-12-17
">90",0,0,3,3,6,2021-12-17
