"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,4,37,6,48,2022-02-06
"20 - 24",7,4,82,0,93,2022-02-06
"25 - 29",2,4,164,11,181,2022-02-06
"30 - 34",4,4,288,11,307,2022-02-06
"35 - 39",8,7,369,21,405,2022-02-06
"40 - 44",10,7,458,41,516,2022-02-06
"45 - 49",16,15,826,88,945,2022-02-06
"50 - 54",30,20,1319,192,1561,2022-02-06
"55 - 59",34,33,1752,344,2163,2022-02-06
"60 - 64",29,35,1903,610,2577,2022-02-06
"65 - 69",40,37,1839,946,2862,2022-02-06
"70 - 74",30,31,1589,1255,2905,2022-02-06
"75 - 79",19,16,824,880,1739,2022-02-06
"80 - 84",5,1,180,273,459,2022-02-06
"85 - 89",1,0,28,47,76,2022-02-06
">90",0,0,4,3,7,2022-02-06
