"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,46,6,54,2022-04-20
"20 - 24",4,1,106,0,111,2022-04-20
"25 - 29",4,0,178,11,193,2022-04-20
"30 - 34",7,1,311,13,332,2022-04-20
"35 - 39",3,0,395,26,424,2022-04-20
"40 - 44",6,8,493,47,554,2022-04-20
"45 - 49",7,7,876,91,981,2022-04-20
"50 - 54",17,6,1385,212,1620,2022-04-20
"55 - 59",27,12,1855,366,2260,2022-04-20
"60 - 64",20,14,2028,654,2716,2022-04-20
"65 - 69",32,18,1975,995,3020,2022-04-20
"70 - 74",25,18,1720,1316,3079,2022-04-20
"75 - 79",24,11,908,933,1876,2022-04-20
"80 - 84",9,7,215,296,527,2022-04-20
"85 - 89",1,4,42,50,97,2022-04-20
">90",0,0,6,4,10,2022-04-20
