"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,46,6,55,2022-05-19
"20 - 24",4,0,107,0,111,2022-05-19
"25 - 29",4,0,181,11,196,2022-05-19
"30 - 34",5,0,313,13,331,2022-05-19
"35 - 39",4,1,396,26,427,2022-05-19
"40 - 44",8,1,497,48,554,2022-05-19
"45 - 49",8,2,884,92,986,2022-05-19
"50 - 54",16,4,1392,212,1624,2022-05-19
"55 - 59",30,7,1868,368,2273,2022-05-19
"60 - 64",18,10,2047,662,2737,2022-05-19
"65 - 69",30,5,1999,1005,3039,2022-05-19
"70 - 74",20,6,1744,1330,3100,2022-05-19
"75 - 79",20,5,925,941,1891,2022-05-19
"80 - 84",6,0,225,302,533,2022-05-19
"85 - 89",0,0,46,51,97,2022-05-19
">90",0,0,7,4,11,2022-05-19
