"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,56,7,65,2022-11-16
"20 - 24",4,0,116,3,123,2022-11-16
"25 - 29",2,0,194,13,209,2022-11-16
"30 - 34",3,0,330,14,347,2022-11-16
"35 - 39",4,2,411,26,443,2022-11-16
"40 - 44",3,1,525,52,581,2022-11-16
"45 - 49",3,0,907,98,1008,2022-11-16
"50 - 54",9,0,1438,221,1668,2022-11-16
"55 - 59",13,2,1940,386,2341,2022-11-16
"60 - 64",12,8,2119,687,2826,2022-11-16
"65 - 69",21,3,2090,1041,3155,2022-11-16
"70 - 74",17,13,1845,1371,3246,2022-11-16
"75 - 79",16,8,1018,979,2021,2022-11-16
"80 - 84",16,2,270,322,610,2022-11-16
"85 - 89",4,1,59,62,126,2022-11-16
">90",0,0,13,9,22,2022-11-16
