"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,2,20,3,26,2021-07-31
"20 - 24",3,1,49,0,53,2021-07-31
"25 - 29",3,3,98,7,111,2021-07-31
"30 - 34",1,3,170,6,180,2021-07-31
"35 - 39",5,8,201,14,228,2021-07-31
"40 - 44",9,9,305,27,350,2021-07-31
"45 - 49",10,15,588,65,678,2021-07-31
"50 - 54",20,22,1002,142,1186,2021-07-31
"55 - 59",8,22,1391,253,1674,2021-07-31
"60 - 64",11,24,1485,453,1973,2021-07-31
"65 - 69",6,32,1490,721,2249,2021-07-31
"70 - 74",8,19,1320,993,2340,2021-07-31
"75 - 79",8,9,654,688,1359,2021-07-31
"80 - 84",2,1,136,227,366,2021-07-31
"85 - 89",1,1,17,37,56,2021-07-31
">90",0,0,3,2,5,2021-07-31
