"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,55,7,65,2022-11-10
"20 - 24",4,0,116,3,123,2022-11-10
"25 - 29",2,0,194,13,209,2022-11-10
"30 - 34",3,0,330,14,347,2022-11-10
"35 - 39",2,4,411,26,443,2022-11-10
"40 - 44",4,1,523,52,580,2022-11-10
"45 - 49",4,1,905,98,1008,2022-11-10
"50 - 54",12,1,1435,221,1669,2022-11-10
"55 - 59",12,5,1941,385,2343,2022-11-10
"60 - 64",18,8,2114,687,2827,2022-11-10
"65 - 69",19,4,2090,1041,3154,2022-11-10
"70 - 74",20,11,1844,1368,3243,2022-11-10
"75 - 79",17,6,1014,977,2014,2022-11-10
"80 - 84",14,4,269,322,609,2022-11-10
"85 - 89",5,0,58,62,125,2022-11-10
">90",0,0,13,9,22,2022-11-10
