"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,38,6,47,2022-02-27
"20 - 24",7,1,90,0,98,2022-02-27
"25 - 29",4,1,168,11,184,2022-02-27
"30 - 34",6,3,295,11,315,2022-02-27
"35 - 39",7,1,381,24,413,2022-02-27
"40 - 44",10,6,469,42,527,2022-02-27
"45 - 49",12,8,849,87,956,2022-02-27
"50 - 54",22,17,1346,199,1584,2022-02-27
"55 - 59",37,21,1794,350,2202,2022-02-27
"60 - 64",39,34,1933,619,2625,2022-02-27
"65 - 69",37,33,1874,963,2907,2022-02-27
"70 - 74",30,28,1628,1266,2952,2022-02-27
"75 - 79",22,18,842,893,1775,2022-02-27
"80 - 84",5,2,188,281,476,2022-02-27
"85 - 89",0,0,31,48,79,2022-02-27
">90",0,0,4,3,7,2022-02-27
