"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,46,6,55,2022-06-17
"20 - 24",4,0,108,0,112,2022-06-17
"25 - 29",5,0,182,11,198,2022-06-17
"30 - 34",3,0,317,13,333,2022-06-17
"35 - 39",4,2,397,26,429,2022-06-17
"40 - 44",7,2,501,48,558,2022-06-17
"45 - 49",6,0,888,91,985,2022-06-17
"50 - 54",11,1,1399,214,1625,2022-06-17
"55 - 59",18,8,1885,371,2282,2022-06-17
"60 - 64",11,5,2061,666,2743,2022-06-17
"65 - 69",26,7,2015,1008,3056,2022-06-17
"70 - 74",14,4,1757,1336,3111,2022-06-17
"75 - 79",18,1,941,943,1903,2022-06-17
"80 - 84",4,5,228,304,541,2022-06-17
"85 - 89",1,0,46,53,100,2022-06-17
">90",0,0,7,5,12,2022-06-17
