"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,55,7,65,2022-11-14
"20 - 24",4,0,116,3,123,2022-11-14
"25 - 29",2,0,194,13,209,2022-11-14
"30 - 34",3,0,330,14,347,2022-11-14
"35 - 39",2,4,411,26,443,2022-11-14
"40 - 44",3,0,525,52,580,2022-11-14
"45 - 49",3,0,907,97,1007,2022-11-14
"50 - 54",12,1,1434,221,1668,2022-11-14
"55 - 59",12,3,1942,386,2343,2022-11-14
"60 - 64",13,8,2118,687,2826,2022-11-14
"65 - 69",20,4,2090,1041,3155,2022-11-14
"70 - 74",18,13,1846,1371,3248,2022-11-14
"75 - 79",17,7,1016,978,2018,2022-11-14
"80 - 84",13,5,270,322,610,2022-11-14
"85 - 89",4,0,59,62,125,2022-11-14
">90",0,0,13,9,22,2022-11-14
