"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,1,46,6,56,2022-06-24
"20 - 24",4,1,108,0,113,2022-06-24
"25 - 29",4,0,183,12,199,2022-06-24
"30 - 34",4,1,317,13,335,2022-06-24
"35 - 39",4,2,397,26,429,2022-06-24
"40 - 44",5,0,503,49,557,2022-06-24
"45 - 49",6,0,888,91,985,2022-06-24
"50 - 54",10,3,1401,214,1628,2022-06-24
"55 - 59",20,5,1886,372,2283,2022-06-24
"60 - 64",13,9,2060,668,2750,2022-06-24
"65 - 69",28,7,2018,1009,3062,2022-06-24
"70 - 74",17,4,1756,1338,3115,2022-06-24
"75 - 79",18,4,943,943,1908,2022-06-24
"80 - 84",7,3,230,304,544,2022-06-24
"85 - 89",1,1,46,54,102,2022-06-24
">90",0,0,7,5,12,2022-06-24
