"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,36,4,43,2022-01-08
"20 - 24",4,2,78,0,84,2022-01-08
"25 - 29",7,5,151,10,173,2022-01-08
"30 - 34",7,6,281,11,305,2022-01-08
"35 - 39",8,4,349,21,382,2022-01-08
"40 - 44",10,15,438,40,503,2022-01-08
"45 - 49",16,33,783,86,918,2022-01-08
"50 - 54",29,46,1270,180,1525,2022-01-08
"55 - 59",39,54,1695,326,2114,2022-01-08
"60 - 64",45,70,1826,586,2527,2022-01-08
"65 - 69",55,65,1765,908,2793,2022-01-08
"70 - 74",31,65,1543,1227,2866,2022-01-08
"75 - 79",26,40,785,855,1706,2022-01-08
"80 - 84",9,2,168,271,450,2022-01-08
"85 - 89",1,0,26,45,72,2022-01-08
">90",1,0,3,3,7,2022-01-08
