"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,25,3,29,2021-09-12
"20 - 24",5,0,56,0,61,2021-09-12
"25 - 29",8,2,113,7,130,2021-09-12
"30 - 34",6,11,191,7,215,2021-09-12
"35 - 39",8,10,232,15,265,2021-09-12
"40 - 44",10,9,334,30,383,2021-09-12
"45 - 49",7,15,639,67,728,2021-09-12
"50 - 54",11,29,1064,150,1254,2021-09-12
"55 - 59",11,29,1442,264,1746,2021-09-12
"60 - 64",20,29,1537,471,2057,2021-09-12
"65 - 69",10,35,1530,739,2314,2021-09-12
"70 - 74",14,17,1349,1015,2395,2021-09-12
"75 - 79",4,17,674,707,1402,2021-09-12
"80 - 84",3,4,142,230,379,2021-09-12
"85 - 89",2,1,18,39,60,2021-09-12
">90",0,0,3,2,5,2021-09-12
