"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,24,3,27,2021-08-23
"20 - 24",5,1,53,0,59,2021-08-23
"25 - 29",4,5,107,7,123,2021-08-23
"30 - 34",3,8,178,6,195,2021-08-23
"35 - 39",7,6,219,15,247,2021-08-23
"40 - 44",5,11,326,27,369,2021-08-23
"45 - 49",12,12,620,67,711,2021-08-23
"50 - 54",15,33,1034,145,1227,2021-08-23
"55 - 59",13,24,1422,257,1716,2021-08-23
"60 - 64",10,34,1512,460,2016,2021-08-23
"65 - 69",15,37,1506,731,2289,2021-08-23
"70 - 74",15,24,1331,1004,2374,2021-08-23
"75 - 79",4,20,668,691,1383,2021-08-23
"80 - 84",0,2,141,228,371,2021-08-23
"85 - 89",0,1,18,38,57,2021-08-23
">90",0,0,3,2,5,2021-08-23
