"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,3,31,4,39,2021-12-14
"20 - 24",5,4,72,0,81,2021-12-14
"25 - 29",9,4,143,9,165,2021-12-14
"30 - 34",7,17,254,9,287,2021-12-14
"35 - 39",11,18,313,19,361,2021-12-14
"40 - 44",8,20,410,37,475,2021-12-14
"45 - 49",35,43,728,78,884,2021-12-14
"50 - 54",44,58,1195,170,1467,2021-12-14
"55 - 59",40,89,1606,298,2033,2021-12-14
"60 - 64",43,102,1718,553,2416,2021-12-14
"65 - 69",62,112,1670,849,2693,2021-12-14
"70 - 74",45,105,1460,1154,2764,2021-12-14
"75 - 79",30,54,744,814,1642,2021-12-14
"80 - 84",7,2,160,264,433,2021-12-14
"85 - 89",0,1,23,44,68,2021-12-14
">90",1,0,3,2,6,2021-12-14
