"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,28,4,33,2021-11-16
"20 - 24",3,3,64,0,70,2021-11-16
"25 - 29",4,5,132,8,149,2021-11-16
"30 - 34",5,7,225,7,244,2021-11-16
"35 - 39",12,13,271,19,315,2021-11-16
"40 - 44",9,16,375,33,433,2021-11-16
"45 - 49",15,16,685,72,788,2021-11-16
"50 - 54",24,34,1121,163,1342,2021-11-16
"55 - 59",18,41,1519,278,1856,2021-11-16
"60 - 64",26,68,1617,510,2221,2021-11-16
"65 - 69",22,64,1597,786,2469,2021-11-16
"70 - 74",30,50,1400,1075,2555,2021-11-16
"75 - 79",12,50,701,739,1502,2021-11-16
"80 - 84",6,4,153,250,413,2021-11-16
"85 - 89",0,1,20,42,63,2021-11-16
">90",0,0,3,2,5,2021-11-16
