"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,22,3,27,2021-08-12
"20 - 24",5,3,51,0,59,2021-08-12
"25 - 29",6,5,101,7,119,2021-08-12
"30 - 34",6,4,171,6,187,2021-08-12
"35 - 39",4,12,210,14,240,2021-08-12
"40 - 44",10,5,317,27,359,2021-08-12
"45 - 49",9,17,609,66,701,2021-08-12
"50 - 54",21,24,1019,145,1209,2021-08-12
"55 - 59",10,22,1407,256,1695,2021-08-12
"60 - 64",11,29,1501,456,1997,2021-08-12
"65 - 69",7,41,1500,723,2271,2021-08-12
"70 - 74",14,28,1323,998,2363,2021-08-12
"75 - 79",7,18,661,690,1376,2021-08-12
"80 - 84",0,2,140,227,369,2021-08-12
"85 - 89",1,0,17,38,56,2021-08-12
">90",0,0,3,2,5,2021-08-12
