"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,38,6,45,2022-02-12
"20 - 24",6,2,87,0,95,2022-02-12
"25 - 29",3,4,165,11,183,2022-02-12
"30 - 34",7,2,289,11,309,2022-02-12
"35 - 39",7,3,374,22,406,2022-02-12
"40 - 44",10,6,462,42,520,2022-02-12
"45 - 49",17,10,832,86,945,2022-02-12
"50 - 54",29,16,1327,196,1568,2022-02-12
"55 - 59",44,23,1767,346,2180,2022-02-12
"60 - 64",34,32,1913,613,2592,2022-02-12
"65 - 69",43,34,1848,950,2875,2022-02-12
"70 - 74",33,26,1600,1258,2917,2022-02-12
"75 - 79",16,21,830,883,1750,2022-02-12
"80 - 84",8,2,181,276,467,2022-02-12
"85 - 89",1,2,28,47,78,2022-02-12
">90",0,0,4,3,7,2022-02-12
