"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,64,8,75,2023-03-10
"20 - 24",2,1,123,2,128,2023-03-10
"25 - 29",0,2,199,13,214,2023-03-10
"30 - 34",2,0,334,14,350,2023-03-10
"35 - 39",3,0,424,28,455,2023-03-10
"40 - 44",1,0,536,55,592,2023-03-10
"45 - 49",4,2,919,98,1023,2023-03-10
"50 - 54",11,3,1459,232,1705,2023-03-10
"55 - 59",9,7,1979,397,2392,2023-03-10
"60 - 64",16,4,2173,697,2890,2023-03-10
"65 - 69",17,10,2153,1074,3254,2023-03-10
"70 - 74",21,13,1930,1400,3364,2023-03-10
"75 - 79",15,8,1087,1009,2119,2023-03-10
"80 - 84",9,4,319,345,677,2023-03-10
"85 - 89",5,1,74,75,155,2023-03-10
">90",2,0,17,10,29,2023-03-10
