"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,27,3,30,2021-10-07
"20 - 24",3,0,61,0,64,2021-10-07
"25 - 29",6,4,118,7,135,2021-10-07
"30 - 34",3,2,212,7,224,2021-10-07
"35 - 39",6,8,245,17,276,2021-10-07
"40 - 44",7,10,350,32,399,2021-10-07
"45 - 49",6,5,659,70,740,2021-10-07
"50 - 54",20,14,1084,156,1274,2021-10-07
"55 - 59",20,11,1470,272,1773,2021-10-07
"60 - 64",23,19,1562,479,2083,2021-10-07
"65 - 69",13,22,1552,749,2336,2021-10-07
"70 - 74",11,25,1371,1025,2432,2021-10-07
"75 - 79",9,9,680,715,1413,2021-10-07
"80 - 84",1,3,144,235,383,2021-10-07
"85 - 89",0,1,19,40,60,2021-10-07
">90",0,0,3,2,5,2021-10-07
