"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,21,3,25,2021-07-25
"20 - 24",4,0,48,0,52,2021-07-25
"25 - 29",3,3,94,6,106,2021-07-25
"30 - 34",3,1,167,6,177,2021-07-25
"35 - 39",1,10,196,14,221,2021-07-25
"40 - 44",4,10,300,27,341,2021-07-25
"45 - 49",4,15,584,65,668,2021-07-25
"50 - 54",16,17,999,142,1174,2021-07-25
"55 - 59",11,11,1384,252,1658,2021-07-25
"60 - 64",10,18,1483,454,1965,2021-07-25
"65 - 69",7,20,1486,719,2232,2021-07-25
"70 - 74",10,16,1321,993,2340,2021-07-25
"75 - 79",8,5,656,686,1355,2021-07-25
"80 - 84",2,0,139,228,369,2021-07-25
"85 - 89",0,1,17,37,55,2021-07-25
">90",0,0,4,2,6,2021-07-25
