"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,1,47,7,58,2022-07-28
"20 - 24",5,0,110,0,115,2022-07-28
"25 - 29",5,0,184,12,201,2022-07-28
"30 - 34",6,3,322,13,344,2022-07-28
"35 - 39",4,0,400,26,430,2022-07-28
"40 - 44",8,3,506,50,567,2022-07-28
"45 - 49",7,2,890,93,992,2022-07-28
"50 - 54",9,4,1407,217,1637,2022-07-28
"55 - 59",22,4,1903,375,2304,2022-07-28
"60 - 64",16,12,2075,675,2778,2022-07-28
"65 - 69",26,10,2033,1020,3089,2022-07-28
"70 - 74",24,11,1770,1340,3145,2022-07-28
"75 - 79",19,5,964,954,1942,2022-07-28
"80 - 84",7,3,241,310,561,2022-07-28
"85 - 89",0,2,48,55,105,2022-07-28
">90",1,0,8,5,14,2022-07-28
