"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,46,7,56,2022-07-06
"20 - 24",5,0,109,0,114,2022-07-06
"25 - 29",4,0,183,12,199,2022-07-06
"30 - 34",5,2,318,13,338,2022-07-06
"35 - 39",3,3,397,26,429,2022-07-06
"40 - 44",7,2,503,49,561,2022-07-06
"45 - 49",5,1,890,92,988,2022-07-06
"50 - 54",10,3,1402,214,1629,2022-07-06
"55 - 59",17,7,1895,373,2292,2022-07-06
"60 - 64",11,8,2063,672,2754,2022-07-06
"65 - 69",27,9,2021,1011,3068,2022-07-06
"70 - 74",18,5,1759,1338,3120,2022-07-06
"75 - 79",20,4,948,945,1917,2022-07-06
"80 - 84",6,2,232,308,548,2022-07-06
"85 - 89",1,0,47,54,102,2022-07-06
">90",0,0,7,5,12,2022-07-06
