"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,51,7,61,2022-10-04
"20 - 24",4,1,113,2,120,2022-10-04
"25 - 29",1,1,191,12,205,2022-10-04
"30 - 34",5,0,324,14,343,2022-10-04
"35 - 39",2,0,408,26,436,2022-10-04
"40 - 44",4,2,516,50,572,2022-10-04
"45 - 49",2,1,901,94,998,2022-10-04
"50 - 54",8,3,1426,219,1656,2022-10-04
"55 - 59",10,5,1927,382,2324,2022-10-04
"60 - 64",8,10,2096,681,2795,2022-10-04
"65 - 69",18,5,2065,1029,3117,2022-10-04
"70 - 74",16,9,1810,1349,3184,2022-10-04
"75 - 79",14,4,994,962,1974,2022-10-04
"80 - 84",7,4,255,318,584,2022-10-04
"85 - 89",2,2,54,57,115,2022-10-04
">90",0,0,10,8,18,2022-10-04
