"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,2,20,3,26,2021-07-21
"20 - 24",4,1,47,0,52,2021-07-21
"25 - 29",2,3,94,6,105,2021-07-21
"30 - 34",1,3,167,6,177,2021-07-21
"35 - 39",0,2,196,14,212,2021-07-21
"40 - 44",3,8,299,27,337,2021-07-21
"45 - 49",4,8,584,65,661,2021-07-21
"50 - 54",15,18,999,141,1173,2021-07-21
"55 - 59",12,12,1380,251,1655,2021-07-21
"60 - 64",10,13,1481,452,1956,2021-07-21
"65 - 69",10,15,1484,719,2228,2021-07-21
"70 - 74",11,17,1318,993,2339,2021-07-21
"75 - 79",8,2,654,685,1349,2021-07-21
"80 - 84",1,0,139,228,368,2021-07-21
"85 - 89",0,0,17,37,54,2021-07-21
">90",0,0,4,2,6,2021-07-21
