"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,57,7,67,2022-12-12
"20 - 24",4,0,117,2,123,2022-12-12
"25 - 29",2,0,194,13,209,2022-12-12
"30 - 34",3,1,330,14,348,2022-12-12
"35 - 39",3,3,414,26,446,2022-12-12
"40 - 44",2,1,527,52,582,2022-12-12
"45 - 49",4,2,910,98,1014,2022-12-12
"50 - 54",10,2,1440,223,1675,2022-12-12
"55 - 59",13,5,1947,389,2354,2022-12-12
"60 - 64",10,3,2131,688,2832,2022-12-12
"65 - 69",18,8,2103,1050,3179,2022-12-12
"70 - 74",16,8,1859,1377,3260,2022-12-12
"75 - 79",15,6,1032,984,2037,2022-12-12
"80 - 84",11,1,281,326,619,2022-12-12
"85 - 89",4,0,61,62,127,2022-12-12
">90",0,0,15,9,24,2022-12-12
