"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,25,3,28,2021-09-01
"20 - 24",3,0,56,0,59,2021-09-01
"25 - 29",7,2,110,7,126,2021-09-01
"30 - 34",5,11,181,7,204,2021-09-01
"35 - 39",6,7,227,15,255,2021-09-01
"40 - 44",2,13,332,29,376,2021-09-01
"45 - 49",7,13,632,67,719,2021-09-01
"50 - 54",16,27,1051,146,1240,2021-09-01
"55 - 59",12,28,1432,260,1732,2021-09-01
"60 - 64",19,36,1519,465,2039,2021-09-01
"65 - 69",11,32,1521,733,2297,2021-09-01
"70 - 74",17,17,1339,1011,2384,2021-09-01
"75 - 79",3,17,673,699,1392,2021-09-01
"80 - 84",3,2,141,229,375,2021-09-01
"85 - 89",1,1,18,38,58,2021-09-01
">90",0,0,3,2,5,2021-09-01
