"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,43,6,52,2022-03-27
"20 - 24",3,2,102,0,107,2022-03-27
"25 - 29",4,1,175,11,191,2022-03-27
"30 - 34",5,1,310,11,327,2022-03-27
"35 - 39",4,1,390,26,421,2022-03-27
"40 - 44",7,4,484,47,542,2022-03-27
"45 - 49",12,6,866,90,974,2022-03-27
"50 - 54",21,9,1367,206,1603,2022-03-27
"55 - 59",21,15,1836,359,2231,2022-03-27
"60 - 64",32,21,1989,641,2683,2022-03-27
"65 - 69",32,29,1937,988,2986,2022-03-27
"70 - 74",28,40,1677,1297,3042,2022-03-27
"75 - 79",26,23,876,916,1841,2022-03-27
"80 - 84",5,6,198,288,497,2022-03-27
"85 - 89",3,2,33,49,87,2022-03-27
">90",2,0,3,4,9,2022-03-27
