"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,46,6,54,2022-05-20
"20 - 24",4,0,107,0,111,2022-05-20
"25 - 29",4,0,181,11,196,2022-05-20
"30 - 34",5,1,313,13,332,2022-05-20
"35 - 39",4,1,396,26,427,2022-05-20
"40 - 44",8,1,497,48,554,2022-05-20
"45 - 49",7,2,885,91,985,2022-05-20
"50 - 54",16,3,1392,212,1623,2022-05-20
"55 - 59",28,7,1868,368,2271,2022-05-20
"60 - 64",19,8,2048,662,2737,2022-05-20
"65 - 69",30,5,1999,1005,3039,2022-05-20
"70 - 74",20,6,1745,1330,3101,2022-05-20
"75 - 79",20,4,928,941,1893,2022-05-20
"80 - 84",5,0,226,302,533,2022-05-20
"85 - 89",0,0,46,51,97,2022-05-20
">90",0,0,7,4,11,2022-05-20
