"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,38,6,45,2022-02-13
"20 - 24",6,2,87,0,95,2022-02-13
"25 - 29",3,4,165,11,183,2022-02-13
"30 - 34",6,2,290,11,309,2022-02-13
"35 - 39",7,2,374,23,406,2022-02-13
"40 - 44",10,7,462,42,521,2022-02-13
"45 - 49",17,10,832,87,946,2022-02-13
"50 - 54",29,17,1327,196,1569,2022-02-13
"55 - 59",46,19,1766,347,2178,2022-02-13
"60 - 64",32,33,1915,613,2593,2022-02-13
"65 - 69",43,35,1848,950,2876,2022-02-13
"70 - 74",33,23,1601,1259,2916,2022-02-13
"75 - 79",17,18,831,884,1750,2022-02-13
"80 - 84",8,2,181,276,467,2022-02-13
"85 - 89",1,2,28,47,78,2022-02-13
">90",0,0,4,3,7,2022-02-13
