"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,50,7,60,2022-09-01
"20 - 24",3,0,113,1,117,2022-09-01
"25 - 29",2,0,190,12,204,2022-09-01
"30 - 34",4,0,323,14,341,2022-09-01
"35 - 39",3,0,404,26,433,2022-09-01
"40 - 44",3,3,512,50,568,2022-09-01
"45 - 49",5,0,896,95,996,2022-09-01
"50 - 54",9,2,1416,218,1645,2022-09-01
"55 - 59",10,3,1920,382,2315,2022-09-01
"60 - 64",13,8,2083,681,2785,2022-09-01
"65 - 69",14,6,2055,1025,3100,2022-09-01
"70 - 74",20,5,1794,1347,3166,2022-09-01
"75 - 79",7,3,986,960,1956,2022-09-01
"80 - 84",7,2,247,312,568,2022-09-01
"85 - 89",0,0,51,55,106,2022-09-01
">90",0,0,9,7,16,2022-09-01
