"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,46,7,56,2022-07-04
"20 - 24",5,0,109,0,114,2022-07-04
"25 - 29",4,0,183,12,199,2022-07-04
"30 - 34",5,2,318,13,338,2022-07-04
"35 - 39",3,3,397,26,429,2022-07-04
"40 - 44",7,1,503,49,560,2022-07-04
"45 - 49",5,1,890,91,987,2022-07-04
"50 - 54",11,3,1401,214,1629,2022-07-04
"55 - 59",20,9,1890,372,2291,2022-07-04
"60 - 64",10,9,2063,672,2754,2022-07-04
"65 - 69",27,9,2019,1011,3066,2022-07-04
"70 - 74",17,3,1759,1338,3117,2022-07-04
"75 - 79",20,4,948,944,1916,2022-07-04
"80 - 84",7,3,231,305,546,2022-07-04
"85 - 89",1,0,47,54,102,2022-07-04
">90",0,0,7,5,12,2022-07-04
