"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,3,37,5,46,2022-02-02
"20 - 24",3,6,82,0,91,2022-02-02
"25 - 29",2,4,163,10,179,2022-02-02
"30 - 34",3,4,289,11,307,2022-02-02
"35 - 39",10,4,367,21,402,2022-02-02
"40 - 44",9,8,458,40,515,2022-02-02
"45 - 49",19,13,820,88,940,2022-02-02
"50 - 54",31,19,1315,192,1557,2022-02-02
"55 - 59",35,29,1751,342,2157,2022-02-02
"60 - 64",29,34,1902,610,2575,2022-02-02
"65 - 69",41,40,1833,940,2854,2022-02-02
"70 - 74",31,30,1585,1256,2902,2022-02-02
"75 - 79",18,16,820,875,1729,2022-02-02
"80 - 84",6,1,179,273,459,2022-02-02
"85 - 89",1,2,27,47,77,2022-02-02
">90",0,0,4,3,7,2022-02-02
