"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,24,3,27,2021-08-21
"20 - 24",4,2,53,0,59,2021-08-21
"25 - 29",4,5,107,7,123,2021-08-21
"30 - 34",2,8,177,6,193,2021-08-21
"35 - 39",11,6,214,15,246,2021-08-21
"40 - 44",5,9,325,27,366,2021-08-21
"45 - 49",11,13,618,67,709,2021-08-21
"50 - 54",15,31,1031,145,1222,2021-08-21
"55 - 59",15,20,1418,256,1709,2021-08-21
"60 - 64",11,29,1512,459,2011,2021-08-21
"65 - 69",12,39,1505,730,2286,2021-08-21
"70 - 74",13,24,1331,1002,2370,2021-08-21
"75 - 79",7,18,665,691,1381,2021-08-21
"80 - 84",0,2,141,228,371,2021-08-21
"85 - 89",0,1,18,38,57,2021-08-21
">90",0,0,3,2,5,2021-08-21
