"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,51,7,61,2022-10-17
"20 - 24",5,1,113,2,121,2022-10-17
"25 - 29",3,1,192,12,208,2022-10-17
"30 - 34",2,1,328,14,345,2022-10-17
"35 - 39",2,1,408,26,437,2022-10-17
"40 - 44",4,1,519,51,575,2022-10-17
"45 - 49",4,1,902,95,1002,2022-10-17
"50 - 54",12,1,1426,219,1658,2022-10-17
"55 - 59",12,6,1932,383,2333,2022-10-17
"60 - 64",11,8,2102,682,2803,2022-10-17
"65 - 69",20,5,2069,1031,3125,2022-10-17
"70 - 74",19,15,1821,1351,3206,2022-10-17
"75 - 79",15,3,1003,969,1990,2022-10-17
"80 - 84",10,4,258,321,593,2022-10-17
"85 - 89",7,1,54,59,121,2022-10-17
">90",1,0,12,9,22,2022-10-17
