"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,65,7,74,2023-03-23
"20 - 24",1,0,124,3,128,2023-03-23
"25 - 29",1,0,201,13,215,2023-03-23
"30 - 34",0,2,336,14,352,2023-03-23
"35 - 39",3,0,426,28,457,2023-03-23
"40 - 44",1,1,538,55,595,2023-03-23
"45 - 49",3,3,922,100,1028,2023-03-23
"50 - 54",5,1,1467,235,1708,2023-03-23
"55 - 59",6,4,1990,398,2398,2023-03-23
"60 - 64",13,8,2184,700,2905,2023-03-23
"65 - 69",14,9,2170,1077,3270,2023-03-23
"70 - 74",12,14,1951,1404,3381,2023-03-23
"75 - 79",14,4,1103,1016,2137,2023-03-23
"80 - 84",5,8,328,347,688,2023-03-23
"85 - 89",5,1,76,76,158,2023-03-23
">90",2,0,18,11,31,2023-03-23
