"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,20,3,25,2021-07-28
"20 - 24",3,0,49,0,52,2021-07-28
"25 - 29",3,1,96,7,107,2021-07-28
"30 - 34",2,2,168,6,178,2021-07-28
"35 - 39",4,10,199,14,227,2021-07-28
"40 - 44",5,13,303,27,348,2021-07-28
"45 - 49",5,16,588,65,674,2021-07-28
"50 - 54",18,22,1000,142,1182,2021-07-28
"55 - 59",9,17,1388,252,1666,2021-07-28
"60 - 64",10,22,1483,453,1968,2021-07-28
"65 - 69",7,28,1487,721,2243,2021-07-28
"70 - 74",11,13,1315,993,2332,2021-07-28
"75 - 79",6,11,653,687,1357,2021-07-28
"80 - 84",2,1,136,227,366,2021-07-28
"85 - 89",0,1,17,37,55,2021-07-28
">90",0,0,3,2,5,2021-07-28
