"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",4,0,52,7,63,2022-10-27
"20 - 24",5,1,114,3,123,2022-10-27
"25 - 29",2,0,193,13,208,2022-10-27
"30 - 34",2,2,329,14,347,2022-10-27
"35 - 39",2,2,411,26,441,2022-10-27
"40 - 44",3,1,521,52,577,2022-10-27
"45 - 49",5,1,903,97,1006,2022-10-27
"50 - 54",12,1,1430,220,1663,2022-10-27
"55 - 59",10,4,1937,385,2336,2022-10-27
"60 - 64",17,10,2106,686,2819,2022-10-27
"65 - 69",24,6,2079,1035,3144,2022-10-27
"70 - 74",21,14,1828,1360,3223,2022-10-27
"75 - 79",16,6,1009,973,2004,2022-10-27
"80 - 84",12,2,265,322,601,2022-10-27
"85 - 89",4,2,57,61,124,2022-10-27
">90",0,0,13,9,22,2022-10-27
