"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,62,8,72,2023-02-24
"20 - 24",2,0,121,2,125,2023-02-24
"25 - 29",0,0,198,13,211,2023-02-24
"30 - 34",2,0,334,14,350,2023-02-24
"35 - 39",2,1,423,27,453,2023-02-24
"40 - 44",1,0,534,54,589,2023-02-24
"45 - 49",4,0,918,98,1020,2023-02-24
"50 - 54",10,2,1457,229,1698,2023-02-24
"55 - 59",6,4,1976,396,2382,2023-02-24
"60 - 64",12,4,2167,695,2878,2023-02-24
"65 - 69",13,5,2149,1072,3239,2023-02-24
"70 - 74",14,8,1915,1397,3334,2023-02-24
"75 - 79",15,4,1078,1004,2101,2023-02-24
"80 - 84",10,3,312,339,664,2023-02-24
"85 - 89",5,1,72,72,150,2023-02-24
">90",0,1,17,9,27,2023-02-24
