"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,51,7,61,2022-10-13
"20 - 24",5,1,113,2,121,2022-10-13
"25 - 29",2,2,192,12,208,2022-10-13
"30 - 34",2,1,328,14,345,2022-10-13
"35 - 39",2,0,408,26,436,2022-10-13
"40 - 44",3,1,519,51,574,2022-10-13
"45 - 49",3,1,902,95,1001,2022-10-13
"50 - 54",11,0,1426,219,1656,2022-10-13
"55 - 59",11,5,1932,383,2331,2022-10-13
"60 - 64",11,9,2100,682,2802,2022-10-13
"65 - 69",17,3,2069,1031,3120,2022-10-13
"70 - 74",21,12,1817,1350,3200,2022-10-13
"75 - 79",17,3,1001,968,1989,2022-10-13
"80 - 84",11,2,256,321,590,2022-10-13
"85 - 89",4,4,54,58,120,2022-10-13
">90",1,1,12,8,22,2022-10-13
