"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,46,6,55,2022-05-18
"20 - 24",4,0,107,0,111,2022-05-18
"25 - 29",4,0,181,11,196,2022-05-18
"30 - 34",5,0,313,13,331,2022-05-18
"35 - 39",4,1,396,26,427,2022-05-18
"40 - 44",8,1,497,48,554,2022-05-18
"45 - 49",8,2,884,91,985,2022-05-18
"50 - 54",16,3,1392,212,1623,2022-05-18
"55 - 59",29,8,1868,367,2272,2022-05-18
"60 - 64",20,11,2044,662,2737,2022-05-18
"65 - 69",29,7,1998,1005,3039,2022-05-18
"70 - 74",21,6,1743,1328,3098,2022-05-18
"75 - 79",21,3,924,941,1889,2022-05-18
"80 - 84",7,0,224,302,533,2022-05-18
"85 - 89",0,0,46,51,97,2022-05-18
">90",0,0,7,4,11,2022-05-18
