"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,62,8,71,2023-02-22
"20 - 24",3,0,120,2,125,2023-02-22
"25 - 29",0,0,198,13,211,2023-02-22
"30 - 34",2,0,334,14,350,2023-02-22
"35 - 39",2,0,423,27,452,2023-02-22
"40 - 44",1,2,533,54,590,2023-02-22
"45 - 49",4,1,918,97,1020,2023-02-22
"50 - 54",9,2,1457,229,1697,2023-02-22
"55 - 59",6,5,1977,395,2383,2023-02-22
"60 - 64",12,4,2166,695,2877,2023-02-22
"65 - 69",15,5,2147,1071,3238,2023-02-22
"70 - 74",13,9,1915,1396,3333,2023-02-22
"75 - 79",11,8,1076,1003,2098,2023-02-22
"80 - 84",9,2,312,339,662,2023-02-22
"85 - 89",4,3,70,71,148,2023-02-22
">90",0,1,16,9,26,2023-02-22
