"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,62,8,72,2023-03-01
"20 - 24",3,0,121,2,126,2023-03-01
"25 - 29",0,0,198,13,211,2023-03-01
"30 - 34",2,0,334,14,350,2023-03-01
"35 - 39",2,2,423,27,454,2023-03-01
"40 - 44",1,1,533,55,590,2023-03-01
"45 - 49",4,0,918,98,1020,2023-03-01
"50 - 54",11,3,1457,231,1702,2023-03-01
"55 - 59",6,4,1978,397,2385,2023-03-01
"60 - 64",13,5,2168,696,2882,2023-03-01
"65 - 69",14,5,2151,1073,3243,2023-03-01
"70 - 74",14,14,1919,1398,3345,2023-03-01
"75 - 79",14,6,1080,1006,2106,2023-03-01
"80 - 84",9,3,313,341,666,2023-03-01
"85 - 89",3,0,73,75,151,2023-03-01
">90",1,0,17,9,27,2023-03-01
