"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,41,6,48,2022-03-15
"20 - 24",5,2,98,0,105,2022-03-15
"25 - 29",5,1,172,11,189,2022-03-15
"30 - 34",8,1,302,11,322,2022-03-15
"35 - 39",5,2,386,24,417,2022-03-15
"40 - 44",3,5,480,45,533,2022-03-15
"45 - 49",7,7,861,87,962,2022-03-15
"50 - 54",17,13,1360,203,1593,2022-03-15
"55 - 59",21,15,1827,355,2218,2022-03-15
"60 - 64",30,27,1967,633,2657,2022-03-15
"65 - 69",31,30,1910,976,2947,2022-03-15
"70 - 74",30,33,1655,1281,2999,2022-03-15
"75 - 79",17,16,862,910,1805,2022-03-15
"80 - 84",5,3,193,285,486,2022-03-15
"85 - 89",0,1,31,49,81,2022-03-15
">90",0,1,3,3,7,2022-03-15
