"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,37,5,44,2022-01-22
"20 - 24",2,2,80,0,84,2022-01-22
"25 - 29",4,2,159,10,175,2022-01-22
"30 - 34",3,3,289,11,306,2022-01-22
"35 - 39",5,8,360,21,394,2022-01-22
"40 - 44",6,10,454,40,510,2022-01-22
"45 - 49",18,18,808,86,930,2022-01-22
"50 - 54",29,32,1299,188,1548,2022-01-22
"55 - 59",36,40,1731,336,2143,2022-01-22
"60 - 64",35,48,1879,598,2560,2022-01-22
"65 - 69",40,44,1816,931,2831,2022-01-22
"70 - 74",25,48,1571,1241,2885,2022-01-22
"75 - 79",23,19,805,871,1718,2022-01-22
"80 - 84",6,3,174,272,455,2022-01-22
"85 - 89",0,0,27,46,73,2022-01-22
">90",1,0,3,3,7,2022-01-22
